round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,36.88253617286682,1.9301004260778427,0.680875,8,2,8,0
2,19.954453229904175,1.3292072266340256,0.7805,8,0,8,0
3,21.185138940811157,0.9168866276741028,0.82475,8,0,8,0
4,25.387706756591797,0.7135185748338699,0.84675,8,0,8,0
5,24.899473428726196,0.6034047827124596,0.859125,8,0,8,0
6,17.669048070907593,0.5350222513079643,0.871625,8,0,8,0
7,18.52434015274048,0.48805826902389526,0.878,8,0,8,0
8,25.686496019363403,0.4550715498626232,0.8835,8,0,8,0
9,21.63078260421753,0.4305649399757385,0.8875,8,0,8,0
10,18.522784948349,0.4111516587436199,0.889875,8,0,8,0
11,243.89965748786926,0.3894124567508698,0.8964,8,0,5,3
12,20.850200176239014,0.3774383008480072,0.8976,5,0,5,0
13,19.887179374694824,0.36730629205703735,0.901,5,0,5,0
14,16.04479146003723,0.3581762254238129,0.9038,5,0,5,0
15,13.11409068107605,0.35075353384017943,0.9052,5,0,5,0
16,20.615240335464478,0.3432416319847107,0.9066,5,0,5,0
17,29.121788263320923,0.33740883469581606,0.907,5,0,5,0
18,22.30102014541626,0.33161906003952024,0.9088,5,0,5,0
19,20.03797221183777,0.3270132660865784,0.9116,5,0,5,0
20,21.574466705322266,0.322475790977478,0.912,5,0,5,0
21,21.196290254592896,0.31839958429336546,0.9124,5,0,5,0
22,24.605527639389038,0.31401367783546447,0.9148,5,0,5,0
23,20.092004537582397,0.3111126899719238,0.9154,5,0,5,0
24,15.3836190700531,0.30626838803291323,0.9154,5,0,5,0
25,21.29071068763733,0.30327382385730745,0.917,5,0,5,0
26,21.763347148895264,0.2999765247106552,0.9168,5,0,5,0
27,10.834679126739502,0.29721822738647463,0.9176,5,0,5,0
28,13.798432350158691,0.2946790665388107,0.918,5,0,5,0
29,29.43905234336853,0.2914242476224899,0.9196,5,0,5,0
30,14.837031841278076,0.2894441157579422,0.9202,5,0,5,0
31,15.094248056411743,0.28634878993034363,0.9204,5,0,5,0
32,17.147420644760132,0.28382427990436554,0.92,5,0,5,0
33,26.726593255996704,0.2811705648899078,0.9216,5,0,5,0
34,15.671154499053955,0.2791043192148209,0.923,5,0,5,0
35,19.65865969657898,0.27672992944717406,0.9222,5,0,5,0
36,32.64104723930359,0.27452050149440765,0.9228,5,0,5,0
37,22.04093289375305,0.27137973010540006,0.9238,5,0,5,0
38,24.590346813201904,0.27009442150592805,0.9238,5,0,5,0
39,21.157026767730713,0.26853862404823303,0.9242,5,0,5,0
40,30.630455255508423,0.26616890728473663,0.9254,5,0,5,0
41,18.64179825782776,0.26357464492321014,0.9256,5,0,5,0
42,22.60753583908081,0.2618627429008484,0.925,5,0,5,0
43,12.795006275177002,0.26107933521270754,0.9266,5,0,5,0
44,13.579263687133789,0.2581639885902405,0.9268,5,0,5,0
45,15.86726999282837,0.25666458904743195,0.927,5,0,5,0
46,13.754975318908691,0.2551063120365143,0.9272,5,0,5,0
47,13.392629384994507,0.2533939749002457,0.9286,5,0,5,0
48,21.110931634902954,0.25079305768013,0.928,5,0,5,0
49,19.42496681213379,0.24923159480094909,0.9286,5,0,5,0
50,25.47161102294922,0.2480233758687973,0.929,5,0,5,0
