round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,41.04737710952759,1.2280291795730591,0.7955,10,0,10,0
2,23.682838678359985,0.6824072539806366,0.8535,10,0,10,0
3,20.357349157333374,0.5192924857139587,0.8746,10,0,10,0
4,32.37079334259033,0.44372016489505767,0.8885,10,0,10,0
5,20.05228328704834,0.40094042718410494,0.8935,10,0,10,0
6,37.49126315116882,0.37350129187107084,0.8989,10,0,10,0
7,25.71892762184143,0.35448256731033323,0.9023,10,0,10,0
8,27.597441911697388,0.33945375084877016,0.9056,10,0,10,0
9,39.26244258880615,0.32742424607276915,0.9073,10,0,10,0
10,28.643064260482788,0.31795422434806825,0.9097,10,0,10,0
11,17.988598108291626,0.3093735784292221,0.9129,10,0,10,0
12,29.58052706718445,0.30206136405467987,0.9142,10,0,10,0
13,22.38164782524109,0.2958638951182365,0.916,10,0,10,0
14,25.774543285369873,0.28940549194812776,0.918,10,0,10,0
15,35.202762603759766,0.2839950755238533,0.9197,10,0,10,0
16,39.81795072555542,0.27875846028327944,0.921,10,0,10,0
17,28.119202136993408,0.274452942609787,0.9227,10,0,10,0
18,44.3077335357666,0.2697829768061638,0.9238,10,0,10,0
19,19.23520851135254,0.2654298171401024,0.9253,10,0,10,0
20,38.62742495536804,0.26158997863531114,0.9265,10,0,10,0
21,39.28893780708313,0.25783095359802244,0.9279,10,0,10,0
22,26.268099308013916,0.253834043443203,0.9279,10,0,10,0
23,43.755152225494385,0.2504659354686737,0.9298,10,0,10,0
24,42.770118951797485,0.24670805484056474,0.9305,10,0,10,0
25,21.860162258148193,0.24352378249168397,0.9316,10,0,10,0
26,39.25020408630371,0.24007444232702255,0.9323,10,0,10,0
27,37.004557609558105,0.236845263838768,0.9332,10,0,10,0
28,24.996817350387573,0.234036947786808,0.9342,10,0,10,0
29,31.21183753013611,0.23123941123485564,0.9349,10,0,10,0
30,28.81556010246277,0.2283758282661438,0.9351,10,0,10,0
31,24.519957780838013,0.22536065876483918,0.9363,10,0,10,0
32,31.505651712417603,0.22285146862268448,0.9367,10,0,10,0
33,26.187124490737915,0.22030011117458342,0.9369,10,0,10,0
34,25.285552501678467,0.21727865785360337,0.9381,10,0,10,0
35,36.19431710243225,0.21487009078264235,0.9389,10,0,10,0
36,36.31475567817688,0.21267333775758743,0.9396,10,0,10,0
37,27.790889978408813,0.2098957359790802,0.94,10,0,10,0
38,34.348103284835815,0.20772380530834197,0.9408,10,0,10,0
39,26.24157428741455,0.20549963265657425,0.9414,10,0,10,0
40,30.075105905532837,0.20292670875787736,0.9423,10,0,10,0
41,31.71869421005249,0.20087257474660875,0.942,10,0,10,0
42,55.867353439331055,0.1988351196050644,0.9436,10,0,10,0
43,24.74596881866455,0.1967883825302124,0.9442,10,0,10,0
44,47.05136561393738,0.19451233893632888,0.9442,10,0,10,0
45,41.46317434310913,0.19260922968387603,0.945,10,0,10,0
46,26.479533672332764,0.19066825807094573,0.9453,10,0,10,0
47,26.902376413345337,0.18856129348278045,0.945,10,0,10,0
48,38.851303815841675,0.18671271950006485,0.9469,10,0,10,0
49,24.12669086456299,0.1851752445101738,0.9472,10,0,10,0
50,44.03407335281372,0.18309162110090255,0.9479,10,0,10,0
