round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,2.4375689029693604,1.8908312439918518,0.6674,8,0,10,0
2,2.331507682800293,1.2911898732185363,0.7826,10,0,10,0
3,2.318214178085327,0.889110803604126,0.8332,10,0,10,0
4,2.336597442626953,0.6933148860931396,0.8558,10,0,10,0
5,2.542375087738037,0.5873937547206879,0.867,10,0,10,0
6,2.4319331645965576,0.5214859187602997,0.877,10,0,10,0
7,2.451262950897217,0.47688594460487366,0.8833,10,0,10,0
8,2.3596150875091553,0.4451474457979202,0.8888,10,0,10,0
9,2.4965662956237793,0.421076563000679,0.8921,10,0,10,0
10,2.4885449409484863,0.4033181041479111,0.894,10,0,10,0
11,2.453003406524658,0.38748243153095246,0.8983,10,0,10,0
12,2.4307494163513184,0.37526156306266784,0.8993,10,0,10,0
13,2.4261958599090576,0.3650978744029999,0.9012,10,0,10,0
14,2.461378812789917,0.3566894501447678,0.9033,10,0,10,0
15,2.446054458618164,0.34818061292171476,0.904,10,0,10,0
16,2.461115837097168,0.3416160672903061,0.9056,10,0,10,0
17,2.439014434814453,0.33531385362148286,0.9069,10,0,10,0
18,2.4387590885162354,0.32991125285625456,0.9079,10,0,10,0
19,2.4047675132751465,0.3252444416284561,0.9086,10,0,10,0
20,2.4127137660980225,0.32039872705936434,0.9099,10,0,10,0
21,2.383838176727295,0.3159819781780243,0.9123,10,0,10,0
22,2.4567699432373047,0.31230003833770753,0.9128,10,0,10,0
23,2.541431188583374,0.30848555266857147,0.9135,10,0,10,0
24,2.411470413208008,0.3048637956380844,0.9139,10,0,10,0
25,2.431488275527954,0.30153750330209733,0.9154,10,0,10,0
26,2.4514658451080322,0.2987301141023636,0.916,10,0,10,0
27,2.4870150089263916,0.2954150825738907,0.9172,10,0,10,0
28,2.4391043186187744,0.2922957748174667,0.9181,10,0,10,0
29,2.4064650535583496,0.2896783843636513,0.9182,10,0,10,0
30,2.7607052326202393,0.28716797977685926,0.9188,10,0,10,0
31,2.4463212490081787,0.28467248678207396,0.9207,10,0,10,0
32,2.421797752380371,0.28202411234378816,0.9205,10,0,10,0
33,2.4382846355438232,0.27932858765125274,0.9209,10,0,10,0
34,2.3736047744750977,0.27668372690677645,0.9216,10,0,10,0
35,2.409803628921509,0.2745980843901634,0.9217,10,0,10,0
36,2.409450054168701,0.2723415642976761,0.9223,10,0,10,0
37,2.4537007808685303,0.2702032819390297,0.9235,10,0,10,0
38,2.5485880374908447,0.2679426223039627,0.9239,10,0,10,0
39,2.444378137588501,0.2660350054502487,0.9253,10,0,10,0
40,2.4374191761016846,0.26432526409626006,0.9258,10,0,10,0
41,2.4672155380249023,0.2620802715420723,0.926,10,0,10,0
42,2.4745988845825195,0.2600946262478828,0.9272,10,0,10,0
43,2.560229539871216,0.2582920894026756,0.9266,10,0,10,0
44,2.508227586746216,0.2566044420003891,0.9277,10,0,10,0
45,2.55588698387146,0.2550014957785606,0.9278,10,0,10,0
46,2.487818717956543,0.25237796604633334,0.928,10,0,10,0
47,2.6235084533691406,0.2514787882566452,0.9287,10,0,10,0
48,3.4610772132873535,0.2495519921183586,0.9291,10,0,10,0
49,2.6341614723205566,0.24772273153066635,0.9302,10,0,10,0
50,3.3727288246154785,0.2457275539636612,0.9304,10,0,10,0
